Date,Initial Search PSMs,Initial Search Peptides,Post-calibration PSMs,Post-calibration Peptides,Post-GPTMD PSMs,Post-GPTMD Peptides,Initial Search Time,Calibration Time,Post-calibration Search Time,GPTMD Time,Post-GPTMD Search Time,Interlink CSMs,Intralink CSMs,Loop CSMs,Deadend CSMs,Crosslink Single PSMs,Crosslink Single Peptides,XL Search Time,Glyco Search PSMs,Glyco Search Peptides,Glyco Search Time,Semispecific PSMs,Semispecific Peptides,Semispecific Search Time,Nonspecific PSMs,Nonspecific Peptides,Nonspecific Search Time,Modern Search PSMs,Modern Search Peptides,Modern Search Time,TopDown Initial PrSMs,TopDown Initial Proteoforms,TopDown Post-calibration PrSMs,TopDown Post-calibration Proteoforms,TopDown Post-averaging PrSMs,TopDown Post-averaging Proteoforms,TopDown Post-GPTMD PrSMs,TopDown Post-GPTMD Proteoforms,TopDown Initial Search Time,TopDown Calibration Time,TopDown Post-calibration Search Time,TopDown Averaging Time,TopDown Post-averaging Search Time,TopDown GPTMD Time,TopDown Post-GPTMD Search Time,InitialSearchProteinGroups
06/16/2019 01:08:26,31270,11436,31309,11845,35196,13121,371.5958252,531.1106225,283.16997929999997,949.6413544,349.9859762,16,228,115,417,8432,0,46.0958147,0,0,0,35858,13115,1003.1663808,5379,4208,2447.6347499999997,31270,11436,571.72952939999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
06/23/2019 01:07:33,31270,11436,31309,11845,35196,13121,361.0729316,525.2675464,280.3447857,938.5037037,343.806561,16,228,115,417,8432,0,45.2312764,0,0,0,35858,13115,981.6664045,5379,4208,2436.4274385999997,31270,11436,547.584603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
07/07/2019 01:06:39,31279,11435,31323,11865,35206,13236,318.0128325,502.28732759999997,283.1680942,948.4184586,329.931553,16,228,115,417,8432,0,49.7899186,0,0,0,35825,13022,970.3372273,5386,4232,2452.6068456,31281,11437,526.5794412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3661
07/14/2019 01:06:41,31279,11435,31323,11865,35206,13236,320.0154085,497.82483909999996,282.1097034,947.01578599999993,330.4649409,16,228,115,417,8432,0,50.1029738,0,0,0,35825,13022,976.44891999999993,5386,4232,2449.1156412,31281,11437,524.8331267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3661
07/21/2019 01:06:29,31279,11435,31322,11870,35210,13267,319.2609903,491.2285162,279.23140259999997,928.1349418,323.0845036,16,228,115,417,8432,0,51.345315799999995,0,0,0,35825,13022,982.9177708,5386,4232,2439.8761941,31281,11437,528.9162222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3661
07/28/2019 01:06:50,31280,11434,31312,11845,35183,13276,321.7660899,523.4767334,288.008111,949.6254202,306.9491782,16,228,115,417,8432,0,51.8679536,0,0,0,35780,13033,1035.1705972,5384,4229,2452.5238812,31276,11435,541.45670009999992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3637
08/04/2019 01:06:51,31280,11434,31312,11845,35183,13276,324.4224238,518.3534992,288.6362488,949.4590482,309.7340655,16,228,115,417,8432,0,52.0431998,0,0,0,35780,13033,1070.8519546999999,5384,4229,2461.9867088,31276,11435,546.24826469999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3637
08/11/2019 01:07:00,31280,11434,31311,11835,35182,13265,327.26452209999997,520.9769244,287.17172189999997,942.3937261,312.9277322,16,228,115,417,8432,0,52.599594499999995,0,0,0,35780,13033,1127.4605339,5384,4229,2440.1148717,31276,11435,546.01007359999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3637
08/18/2019 01:06:47,31280,11434,31312,11845,35179,13267,323.1915261,519.58000729999992,286.0270955,952.1371901,308.091524,16,228,115,418,8432,0,51.343209699999996,0,0,0,35780,13033,1038.9110431,5384,4229,2449.6142182,31276,11435,535.864375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3637
08/25/2019 01:06:26,31280,11434,31312,11845,35179,13267,321.3509993,519.1374982,285.7875648,936.95017869999992,308.55729529999996,16,228,115,418,8432,0,51.0185226,0,0,0,35780,13033,1066.8253521,5384,4229,2478.3014881999998,31276,11435,544.2921498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3637
